Date,Open,High,Low,Close,Volume
14-07-2003,3704.629883,3750,3625.72998,3647.580078,106400
21-07-2003,3655.26001,3737.76001,3534.060059,3726.459961,143800
28-07-2003,3745.98999,3835.75,3694.939941,3815.310059,132000
04-08-2003,3798.810059,3890.780029,3722.080078,3883.76001,128200
11-08-2003,3842.139893,3959.100098,3842.139893,3921.199951,97000
18-08-2003,3932.370117,4149.540039,3928.169922,4125.120117,120000
25-08-2003,4149.819824,4277.640137,3943.659912,4244.72998,152400
01-09-2003,4248.069824,4371.97998,4248.069824,4369.169922,148600
08-09-2003,4399.609863,4473.569824,4297.709961,4305.910156,134600
15-09-2003,4310.169922,4330.850098,4097.549805,4217.120117,175400
22-09-2003,4230.910156,4388.830078,4111.540039,4382.569824,136000
29-09-2003,4392.870117,4556.890137,4385.540039,4552.919922,121400
06-10-2003,4567.680176,4780.77002,4552.390137,4768.899902,147200
13-10-2003,4787.75,4949.22998,4738.720215,4930.529785,173600
20-10-2003,4951.109863,4951.109863,4599.609863,4757.370117,173800
27-10-2003,4802.069824,4913.180176,4666.189941,4906.870117,174600
03-11-2003,4946.930176,5135,4946.930176,4971.569824,180600
10-11-2003,4962.220215,5059.97998,4854.160156,4865.830078,156400
17-11-2003,4907.02002,4981.47998,4736.700195,4838.540039,140000
24-11-2003,4852.120117,5050.560059,4803.799805,5044.819824,112400
01-12-2003,5086.859863,5263.109863,5082.819824,5131.720215,173600
08-12-2003,5144.950195,5343.910156,5089.569824,5315.810059,132000
15-12-2003,5366.930176,5555.680176,5351.029785,5541.350098,142600
22-12-2003,5547.680176,5705.299805,5543.97998,5699.240234,113400
29-12-2003,5725.439941,6034.379883,5725.439941,6026.589844,112600
05-01-2004,6050.47998,6249.600098,5870.549805,6119.589844,184200
12-01-2004,6152.220215,6248.810059,5914.02002,5946.189941,186200
19-01-2004,5967.390137,6130.089844,5567.680176,5816.640137,209000
26-01-2004,5854.350098,6030.549805,5685.640137,5695.669922,176800
02-02-2004,5715.459961,5820.450195,5550.169922,5786.350098,163800
09-02-2004,5810.209961,6017.009766,5807.72998,6011.660156,182400
16-02-2004,6025.850098,6082.799805,5770.870117,5850.720215,174200
23-02-2004,5869.609863,5875.22998,5551.640137,5667.509766,180800
01-03-2004,5649.299805,5892.779785,5649.299805,5880.350098,145400
08-03-2004,5899.259766,5951.029785,5570.810059,5700.399902,183600
15-03-2004,5745.060059,5764.200195,5386.620117,5443.439941,179200
